"subregion","long","lat","group","order"
"South Island",166.743072509766,-45.4684562683105,1108,69760
"South Island",166.7783203125,-45.40966796875,1108,69761
"South Island",166.919921875,-45.4079093933105,1108,69762
"South Island",166.875595092773,-45.3675765991211,1108,69763
"South Island",166.869232177734,-45.3112297058105,1108,69764
"South Island",166.908599853516,-45.3074226379395,1108,69765
"South Island",167.052154541016,-45.3832015991211,1108,69766
"South Island",167.155670166016,-45.4109344482422,1108,69767
"South Island",167.112106323242,-45.3539085388184,1108,69768
"South Island",167.117782592773,-45.3179702758789,1108,69769
"South Island",167.145309448242,-45.3018531799316,1108,69770
"South Island",167.230072021484,-45.2903327941895,1108,69771
"South Island",167.206848144531,-45.2802734375,1108,69772
"South Island",167.127334594727,-45.2658195495605,1108,69773
"South Island",167.032806396484,-45.2224617004395,1108,69774
"South Island",167.022659301758,-45.1766624450684,1108,69775
"South Island",167.02587890625,-45.1236305236816,1108,69776
"South Island",167.1279296875,-45.05078125,1108,69777
"South Island",167.188186645508,-45.0941429138184,1108,69778
"South Island",167.259475708008,-45.0822257995605,1108,69779
"South Island",167.205078125,-45.0481452941895,1108,69780
"South Island",167.171875,-44.9970703125,1108,69781
"South Island",167.194534301758,-44.9634780883789,1108,69782
"South Island",167.410736083984,-44.8279266357422,1108,69783
"South Island",167.466217041016,-44.9582977294922,1108,69784
"South Island",167.479202270508,-44.9150390625,1108,69785
"South Island",167.482131958008,-44.8739280700684,1108,69786
"South Island",167.456253051758,-44.8382835388184,1108,69787
"South Island",167.4599609375,-44.8023414611816,1108,69788
"South Island",167.484970092773,-44.7713890075684,1108,69789
"South Island",167.57763671875,-44.7408180236816,1108,69790
"South Island",167.698135375977,-44.6413078308105,1108,69791
"South Island",167.787017822266,-44.5950202941895,1108,69792
"South Island",167.859375,-44.6247062683105,1108,69793
"South Island",167.908981323242,-44.6647453308105,1108,69794
"South Island",167.901565551758,-44.625,1108,69795
"South Island",167.866409301758,-44.5920867919922,1108,69796
"South Island",167.856536865234,-44.5006828308105,1108,69797
"South Island",168.018371582031,-44.3587913513184,1108,69798
"South Island",168.196197509766,-44.2236328125,1108,69799
"South Island",168.366607666016,-44.08203125,1108,69800
"South Island",168.457427978516,-44.0305633544922,1108,69801
"South Island",168.650970458984,-43.97216796875,1108,69802
"South Island",168.774810791016,-43.9964866638184,1108,69803
"South Island",168.806442260742,-43.9919929504395,1108,69804
"South Island",168.990417480469,-43.8899421691895,1108,69805
"South Island",169.066497802734,-43.8634796142578,1108,69806
"South Island",169.135940551758,-43.89990234375,1108,69807
"South Island",169.178909301758,-43.9130859375,1108,69808
"South Island",169.1357421875,-43.81982421875,1108,69809
"South Island",169.169525146484,-43.7770500183105,1108,69810
"South Island",169.323150634766,-43.7015609741211,1108,69811
"South Island",169.515228271484,-43.6236343383789,1108,69812
"South Island",169.661529541016,-43.5912094116211,1108,69813
"South Island",169.769241333008,-43.5384788513184,1108,69814
"South Island",169.833877563477,-43.5370140075684,1108,69815
"South Island",169.824020385742,-43.4971694946289,1108,69816
"South Island",169.835052490234,-43.458984375,1108,69817
"South Island",169.890823364258,-43.4616203308105,1108,69818
"South Island",169.908004760742,-43.4465827941895,1108,69819
"South Island",169.858993530273,-43.4259757995605,1108,69820
